Date,Invoice Number,Customer Name,Product,Category,Quantity,Price,Total,Profit
2024-11-23,INV-877572,Flipkart Wholesale,Smart Watch Pro,Electronics,1,12999.0,12999.0,3899.0
2024-05-05,INV-872246,Croma Electronics,HP Pavilion 15,Electronics,1,54999.0,54999.0,10999.0
2024-12-12,INV-719176,Infosys IT,USB-C Hub Adapter,Accessories,2,2499.0,4998.0,1798.0
2024-01-17,INV-329258,Amazon India,"Samsung 27"" Monitor",Electronics,1,18999.0,18999.0,4499.0
2024-09-15,INV-688508,Amazon India,Epson EcoTank L3250,Office Equipment,1,13999.0,13999.0,3499.0
2024-11-28,INV-331148,Wipro Ltd,USB-C Hub Adapter,Accessories,7,2499.0,17493.0,6293.0
2024-10-28,INV-895667,Vijay Sales,iPhone 15,Electronics,1,79999.0,79999.0,13999.0
2024-12-23,INV-391369,Vijay Sales,Sony WH-1000XM5,Accessories,3,29999.0,89997.0,23997.0
2024-04-20,INV-197251,Infosys IT,Google Pixel 8,Electronics,1,52999.0,52999.0,10999.0
2024-02-19,INV-733052,Flipkart Wholesale,"iPad Pro 12.9""",Electronics,2,112999.0,225998.0,45998.0
2024-01-23,INV-230889,Infosys IT,Mechanical Keyboard,Accessories,9,4999.0,44991.0,16191.0
2024-02-10,INV-969693,Tech Mahindra,USB-C Hub Adapter,Accessories,5,2499.0,12495.0,4495.0
2024-07-04,INV-838797,Croma Electronics,HP LaserJet Pro,Office Equipment,2,21999.0,43998.0,10998.0
2024-01-24,INV-183667,Amazon India,HP Pavilion 15,Electronics,2,54999.0,109998.0,21998.0
2024-02-21,INV-575435,TCS Procurement,Samsung Galaxy Tab S9,Electronics,2,74999.0,149998.0,33998.0
2024-03-24,INV-319684,Flipkart Wholesale,"iPad Pro 12.9""",Electronics,2,112999.0,225998.0,45998.0
2024-12-25,INV-765822,Vijay Sales,Logitech Webcam C920,Electronics,10,7499.0,74990.0,18990.0
2024-09-30,INV-584714,Infosys IT,HP Pavilion 15,Electronics,1,54999.0,54999.0,10999.0
2024-05-18,INV-817870,TCS Procurement,USB-C Hub Adapter,Accessories,4,2499.0,9996.0,3596.0
